mlp_type: sde
lam_l2a: 0.0010
dev_types: [1, 1, 2]
dev_lams: [0.1, 0.1, 2.0]
362.6062 362.8931
242.6635 243.1170
214.3206 215.1560
205.6917 206.6952
200.6342 201.5995
189.8544 190.4019
172.4587 172.5548
156.7570 156.7737
145.3684 145.2611
136.5496 136.3465
129.9313 129.6886
124.7063 124.3373
120.3495 119.9510
116.6742 116.2507
113.6136 113.1273
110.9916 110.4474
108.7467 108.1822
106.8173 106.2476
105.2142 104.7046
104.0035 103.4039
102.9673 102.3856
102.0901 101.4915
101.3121 100.7316
100.6798 100.0734
100.1425 99.5061
99.6338 98.9596
99.2501 98.5619
98.7712 98.1321
98.4083 97.7870
98.0928 97.4420
97.8218 97.1887
97.5197 96.8625
97.3232 96.6532
97.0583 96.4364
96.8698 96.1544
96.5842 95.9849
96.4854 95.8156
96.2868 95.6227
96.1259 95.4696
95.9938 95.3172
95.8559 95.1830
95.7433 95.0369
95.5825 94.8960
95.4423 94.7718
95.3410 94.6551
95.2454 94.5372
95.1045 94.4434
95.0214 94.3576
94.8978 94.2257
94.7948 94.1281
94.7231 94.0463
94.6546 93.9974
94.5736 93.8836
94.5411 93.8286
94.4711 93.7214
94.3658 93.6202
94.2981 93.6132
94.2541 93.5011
94.1488 93.4273
94.1290 93.4199
94.0606 93.3553
