mlp_type: dev
lam_l2a: 0.0010
dev_types: [1, 1, 2]
dev_lams: [0.1, 0.1, 2.0]
8991 9026
9010 9026
9033 9026
9085 9026
7783 7731
7294 7230
7329 7230
7098 7084
7018 6915
6887 6807
7035 6807
6604 6533
6000 5950
5876 5809
5990 5809
5459 5512
4945 5013
4698 4723
3895 3920
3818 3813
2347 2474
2242 2265
2053 2122
2111 2122
1680 1807
1695 1807
1571 1671
1471 1591
1406 1504
1351 1415
1284 1390
1288 1390
1223 1291
1185 1278
1179 1236
1150 1215
1127 1201
1158 1201
1118 1181
1096 1144
1118 1144
1089 1136
1096 1136
1081 1114
1059 1068
1044 1085
1039 1057
1036 1061
1020 1068
1021 1042
1020 1042
1000 1042
991 1017
1009 1017
982 1012
983 1012
988 1012
975 982
964 998
975 1004
955 976
955 976
938 974
958 974
948 974
929 966
917 958
928 958
911 954
940 971
920 971
914 971
908 943
901 934
904 934
906 934
882 935
874 918
895 918
878 911
893 911
886 911
879 911
868 917
860 907
879 907
861 907
875 907
875 907
864 898
867 898
862 898
852 888
857 888
846 888
858 888
857 888
